tile_index,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
549,271.247349,12.834819,0.011682418911766718,331264156903604.0,3869966651401.1206
645,261.026124,26.546128,0.029447489083923882,308072151361080.25,9071951314266.357
689,261.156073,33.401783,0.028956312422241753,292313087404617.5,8464309083998.165
550,278.278684,12.834819,0.010446073565350916,277883932806033.62,2902796004720.858
691,277.580132,33.401783,0.07794367338401328,269001500852990.97,20966965122294.9
647,276.353304,26.546128,0.07244949884882804,223258246660871.2,16174948084448.152
646,268.689714,26.546128,0.10433790522335255,220146990891330.28,22969675870825.875
599,274.822955,19.690474,0.04789585786934047,205890880946851.56,9861320370423.701
597,260.260107,19.690474,0.014688467866306624,198454099128932.75,2914986657992.158
548,264.216013,12.834819,0.008792441090408748,192123248520694.6,1689232344716.1667
598,267.541531,19.690474,0.042431171431272514,188440701512837.78,7995759710520.474
769,279.014403,47.113092,0.026358365130987327,183843542989777.6,4845815233098.923
731,268.570759,40.257437,0.1283264978513785,165731838938358.53,21267786473428.273
732,277.55414,40.257437,0.08357408119691334,163521073859215.3,13666123504116.523
768,268.940757,47.113092,0.04699877019768593,150335187455345.22,7065568927839.807
690,269.368102,33.401783,0.1682204772752655,139545905966958.94,23474478903571.152
